seed,scheduler,workload,num_tenants,num_workers,tail_latency,cold_start_rate,colocation_probability
1,random,poisson,64,32,67.9497,0.638512,0.987588
2,random,poisson,64,32,67.3673,0.646526,0.983994
3,random,poisson,64,32,66.864,0.643359,0.985205
4,random,poisson,64,32,66.4917,0.641721,0.987646
5,random,poisson,64,32,67.2117,0.641503,0.986811
6,random,poisson,64,32,67.8204,0.63873,0.986401
7,random,poisson,64,32,67.0306,0.643102,0.987854
8,random,poisson,64,32,67.6508,0.63986,0.986597
9,random,poisson,64,32,67.5499,0.640192,0.988621
10,random,poisson,64,32,67.2765,0.642553,0.984673
11,random,poisson,64,32,67.544,0.640851,0.981519
12,random,poisson,64,32,67.6,0.63959,0.989351
13,random,poisson,64,32,67.293,0.636474,0.987722
14,random,poisson,64,32,66.8619,0.643291,0.986746
15,random,poisson,64,32,67.592,0.637655,0.986324
16,random,poisson,64,32,67.2317,0.639347,0.98714
17,random,poisson,64,32,66.9184,0.639329,0.986333
18,random,poisson,64,32,67.2795,0.63764,0.985593
19,random,poisson,64,32,66.608,0.639191,0.985587
20,random,poisson,64,32,67.9054,0.638224,0.989389
1,helper,poisson,64,32,76.4586,0.40363,0.448507
2,helper,poisson,64,32,75.63,0.379678,0.424148
3,helper,poisson,64,32,75.811,0.384795,0.426698
4,helper,poisson,64,32,74.0111,0.376708,0.389316
5,helper,poisson,64,32,74.9669,0.379095,0.477173
6,helper,poisson,64,32,75.4101,0.403409,0.458043
7,helper,poisson,64,32,73.8415,0.375981,0.452767
8,helper,poisson,64,32,76.6087,0.403597,0.492645
9,helper,poisson,64,32,76.8307,0.390316,0.442436
10,helper,poisson,64,32,74.9488,0.390905,0.452316
11,helper,poisson,64,32,75.9476,0.395897,0.50504
12,helper,poisson,64,32,74.5241,0.400453,0.470797
13,helper,poisson,64,32,76.4085,0.396671,0.496931
14,helper,poisson,64,32,75.1909,0.38399,0.436713
15,helper,poisson,64,32,78.3933,0.403321,0.459306
16,helper,poisson,64,32,74.9504,0.392136,0.448731
17,helper,poisson,64,32,74.5787,0.394521,0.412333
18,helper,poisson,64,32,74.7027,0.397132,0.483301
19,helper,poisson,64,32,74.265,0.379959,0.44269
20,helper,poisson,64,32,76.1141,0.414142,0.486174
1,guardian,poisson,64,32,76.2193,0.577478,0.0583697
2,guardian,poisson,64,32,77.4178,0.573132,0.0344468
3,guardian,poisson,64,32,74.8422,0.561038,0.0174849
4,guardian,poisson,64,32,76.7601,0.569418,0.0360601
5,guardian,poisson,64,32,77.4024,0.566357,0.0277308
6,guardian,poisson,64,32,78.653,0.571114,0.0613599
7,guardian,poisson,64,32,78.6066,0.581984,0.074224
8,guardian,poisson,64,32,78.6784,0.584706,0.107878
9,guardian,poisson,64,32,77.7506,0.567115,0.0341365
10,guardian,poisson,64,32,78.0985,0.573234,0.0487057
11,guardian,poisson,64,32,78.0973,0.578104,0.0722446
12,guardian,poisson,64,32,78.9965,0.572697,0.0519522
13,guardian,poisson,64,32,77.8461,0.56354,0.0290792
14,guardian,poisson,64,32,70.461,0.560791,0.00198807
15,guardian,poisson,64,32,76.5269,0.563416,0.0340227
16,guardian,poisson,64,32,76.0835,0.565045,0.0145516
17,guardian,poisson,64,32,71.5537,0.561055,0.00266667
18,guardian,poisson,64,32,75.3418,0.56558,0.0337263
19,guardian,poisson,64,32,71.2352,0.561381,0.00205903
20,guardian,poisson,64,32,76.6328,0.559525,0.0157556
